Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	Warlock	ExpRatio
MaxLvl	110	110	110	110	110	110	110	110	10
0	0	0	0	0	0	0	0	0	1024
1	500	500	500	500	500	500	500	500	1024
2	1700	1700	1700	1700	1700	1700	1700	1700	1024
3	4400	4400	4400	4400	4400	4400	4400	4400	1024
4	9350	9350	9350	9350	9350	9350	9350	9350	1024
5	16910	16910	16910	16910	16910	16910	16910	16910	1024
6	27116	27116	27116	27116	27116	27116	27116	27116	1024
7	39363	39363	39363	39363	39363	39363	39363	39363	1024
8	53175	53175	53175	53175	53175	53175	53175	53175	1024
9	69158	69158	69158	69158	69158	69158	69158	69158	1024
10	86473	86473	86473	86473	86473	86473	86473	86473	1024
11	108116	108116	108116	108116	108116	108116	108116	108116	1024
12	135170	135170	135170	135170	135170	135170	135170	135170	1024
13	168987	168987	168987	168987	168987	168987	168987	168987	1024
14	211258	211258	211258	211258	211258	211258	211258	211258	1024
15	264098	264098	264098	264098	264098	264098	264098	264098	1024
16	330148	330148	330148	330148	330148	330148	330148	330148	1024
17	412709	412709	412709	412709	412709	412709	412709	412709	1024
18	515911	515911	515911	515911	515911	515911	515911	515911	1024
19	644915	644915	644915	644915	644915	644915	644915	644915	1024
20	806169	806169	806169	806169	806169	806169	806169	806169	1024
21	1007737	1007737	1007737	1007737	1007737	1007737	1007737	1007737	1024
22	1259696	1259696	1259696	1259696	1259696	1259696	1259696	1259696	1024
23	1574644	1574644	1574644	1574644	1574644	1574644	1574644	1574644	1024
24	1968330	1968330	1968330	1968330	1968330	1968330	1968330	1968330	1024
25	2460438	2460438	2460438	2460438	2460438	2460438	2460438	2460438	1024
26	3075572	3075572	3075572	3075572	3075572	3075572	3075572	3075572	1024
27	3844490	3844490	3844490	3844490	3844490	3844490	3844490	3844490	1024
28	4682611	4682611	4682611	4682611	4682611	4682611	4682611	4682611	1024
29	5596163	5596163	5596163	5596163	5596163	5596163	5596163	5596163	1024
30	6591935	6591935	6591935	6591935	6591935	6591935	6591935	6591935	1024
31	7677325	7677325	7677325	7677325	7677325	7677325	7677325	7677325	1024
32	8860401	8860401	8860401	8860401	8860401	8860401	8860401	8860401	1024
33	10149953	10149953	10149953	10149953	10149953	10149953	10149953	10149953	1024
34	11555566	11555566	11555566	11555566	11555566	11555566	11555566	11555566	1024
35	13087684	13087684	13087684	13087684	13087684	13087684	13087684	13087684	1024
