monster	*index	hirelingAlternateVoice	*monster name	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	consumestat1	consumepar1	consumecalc1	consumestat2	consumepar2	consumecalc2	consumestat3	consumepar3	consumecalc3	consumestat4	consumepar4	consumecalc4	consumestat5	consumepar5	consumecalc5	numunderlingcalc	bindchancecalc	BoundStat1	BoundCalc1	BoundStat2	BoundCalc2	BoundStat3	BoundCalc3	BoundStat4	BoundCalc4	BoundStat5	BoundCalc5
roguehire	271	1																											0											
act2hire	338																												0											
act3hire	359																												0											
act5hire1	560																												0											
act5hire2	561																												0											
skeleton1	0		Skeleton	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase	(hpct<51)	target must be at or below 50% life					damageresist		(sksrc('Consume'.lvl)/2+5)*(100+sksrc('Consume'.clc2))/100													0	(pcl1*pcl3)?pcl2:0										
skeleton2	1		Returned	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase	(hpct<51)	target must be at or below 50% life					damageresist		(sksrc('Consume'.lvl)/2+5)*(100+sksrc('Consume'.clc2))/100													0	(pcl1*pcl3)?pcl2:0										
skeleton3	2		Bone Warrior	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase	(hpct<51)	target must be at or below 50% life					damageresist		(sksrc('Consume'.lvl)/2+5)*(100+sksrc('Consume'.clc2))/100													0	(pcl1*pcl3)?pcl2:0										
skeleton4	3		Burning Dead	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase	(hpct<51)	target must be at or below 50% life					damageresist		(sksrc('Consume'.lvl)/2+5)*(100+sksrc('Consume'.clc2))/100													0	(pcl1*pcl3)?pcl2:0										
skeleton5	4		Horror	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase	(hpct<51)	target must be at or below 50% life					damageresist		(sksrc('Consume'.lvl)/2+5)*(100+sksrc('Consume'.clc2))/100													0	(pcl1*pcl3)?pcl2:0										
skeleton6	649		Bone Warrior	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase	(hpct<51)	target must be at or below 50% life					damageresist		(sksrc('Consume'.lvl)/2+5)*(100+sksrc('Consume'.clc2))/100													0	(pcl1*pcl3)?pcl2:0										
