Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
baboon6	monrandombonus	20		20	20	15			1	1																					monrandombonus	30		40	40	fade			2	2																					monrandombonus	40		60	60	fade			2	2																					0
irongolem	monrandombonus	20		20	20	fade			16	16																					monrandombonus	30		40	40	fade			16	16																					monrandombonus	40		60	60	fade			16	16																					0
mephisto	monrandombonus	20		20	20																										monrandombonus	30		40	40	cast2			15	15	swing2			15	15																monrandombonus	40		60	60	cast2			30	30	swing2			30	30																0
blunderbore	monrandombonus	20		20	20	crush			25	25																					monrandombonus	30		40	40	crush			50	50																					monrandombonus	40		60	60	crush			75	75																					0
councilmember1	monrandombonus	20		20	20																										monrandombonus	30		40	40	extra-fire			40	40	extra-cold			40	40	extra-ltng			40	40											monrandombonus	40		60	60	extra-fire			100	100	extra-cold			100	100	extra-ltng			100	100											0
councilmember2	monrandombonus	20		20	20																										monrandombonus	30		40	40	extra-fire			40	40	extra-cold			40	40	extra-ltng			40	40											monrandombonus	40		60	60	extra-fire			100	100	extra-cold			100	100	extra-ltng			100	100											0
councilmember3	monrandombonus	20		20	20																										monrandombonus	30		40	40	extra-fire			40	40	extra-cold			40	40	extra-ltng			40	40											monrandombonus	40		60	60	extra-fire			100	100	extra-cold			100	100	extra-ltng			100	100											0
baalhighpriest	monrandombonus	20		20	20																										monrandombonus	30		40	40	extra-fire			60	60	extra-cold			60	60	extra-ltng			60	60											monrandombonus	40		60	60	extra-fire			120	120	extra-cold			120	120	extra-ltng			120	120											0
bloodraven	monrandombonus	20		20	20	knock			1	1																					monrandombonus	30		40	40	knock			1	1																					monrandombonus	40		60	60	knock			1	1																					0
quillrat6	monrandombonus	20		20	20																										monrandombonus	30		40	40	thorns			15	20																					monrandombonus	40		60	60	thorns			30	40																					0
